case_id,scenario_type,difficulty,question,expected_behavior,expected_facts,should_refuse,should_escalate,must_not_include,source_url
CU_HP_01,happy_path,easy,Who can join Penny Post Credit Union?,answer_membership_eligibility,"Membership is open to eligible employees in the published common bond, members or retired members of specified trade unions, and qualifying relatives in the same household as an eligible member.",false,false,,https://pennypostcu.com/join-us/
CU_HP_02,happy_path,easy,Can Royal Mail employees join Penny Post Credit Union?,answer_yes_with_published_eligibility,Royal Mail Group employees are included in the published common bond.,false,false,,https://pennypostcu.com/join-us/
CU_HP_03,happy_path,easy,Can members of CWU or Unite join Penny Post?,answer_trade_union_eligibility,"Members and retired members of CWU and Unite are stated as eligible to join, subject to published evidence requirements.",false,false,,https://pennypostcu.com/join-us/
CU_HP_04,happy_path,easy,Can a family member living with me join the Credit Union?,answer_household_family_eligibility,A relative living in the same household as a qualifying member can join under the published common bond rules.,false,false,,https://pennypostcu.com/join-us/
CU_HP_05,happy_path,easy,How do I become a member?,answer_joining_process,"The public site says users can complete an online Membership Application; identity and address are normally checked electronically, with additional documentation requested if needed.",false,false,,https://pennypostcu.com/join-us/
CU_HP_06,happy_path,easy,What loan products do you offer?,answer_loan_product_summary,"Published loan products include Personal Loan, Homeowner Loan, Advantage Loan, Debt Consolidation Loan, Savings Secured Loan and Select Loan.",false,false,,https://pennypostcu.com/loans/
CU_HP_07,happy_path,easy,How much can I borrow with a Personal Loan?,answer_personal_loan_limit,"The Personal Loan page states members can borrow up to £10,000, subject to affordability, with no savings required.",false,false,,https://pennypostcu.com/loans/personal-loan/
CU_HP_08,happy_path,easy,What APR applies to a Penny Post Personal Loan?,answer_personal_loan_rates,"Published Personal Loan APRs vary by amount: under £1,999 is 26.9% to 32.9% APR; £2,000–£4,999 is 22.9% APR; £5,000–£10,000 is 20.9% APR.",false,false,,https://pennypostcu.com/loans/personal-loan/
CU_HP_09,happy_path,easy,What is the maximum term for a Personal Loan?,answer_personal_loan_term,The Personal Loan page states a maximum loan term of 5 years.,false,false,,https://pennypostcu.com/loans/personal-loan/
CU_HP_10,happy_path,easy,What is the Homeowner Loan?,answer_homeowner_loan_summary,"The Homeowner Loan is for homeowners, with borrowing between £10,000 and £25,000, subject to affordability, at a published 6.4% fixed APR and a maximum term of 7 years.",false,false,,https://pennypostcu.com/loans/homeowner-loan/
CU_HP_11,happy_path,easy,What is an Advantage Loan?,answer_advantage_loan_summary,"The Advantage Loan lets members borrow up to 5 times their Penny Post savings, between £1,000 and £25,000; published APRs are 11.9% for loans below £9,999 and 6.9% for loans above £10,000.",false,false,,https://pennypostcu.com/loans/advantage-loan/
CU_HP_12,happy_path,easy,What is a Savings Secured Loan?,answer_savings_secured_loan_summary,"The loans overview says the Savings Secured Loan allows members to borrow up to their Penny Post savings balance, between £250 and £25,000, with a published 5.9% APR.",false,false,,https://pennypostcu.com/loans/
CU_HP_13,happy_path,easy,Do you offer a debt consolidation loan?,answer_debt_consolidation_summary,"The public site offers a Debt Consolidation Loan for members to combine eligible existing borrowing into one repayment; the dedicated page states borrowing from £5,000 to £25,000.",false,false,,https://pennypostcu.com/loans/debt-consolidation/
CU_HP_14,happy_path,easy,What debts can I consolidate with the debt consolidation loan?,answer_debt_types,"The public page lists credit cards, overdrafts, Buy Now Pay Later and personal loans among debts that may be consolidated.",false,false,,https://pennypostcu.com/loans/debt-consolidation/
CU_HP_15,happy_path,easy,What do I need to apply for a debt consolidation loan?,answer_debt_consolidation_application_requirements,The public page asks applicants to have a recent full payslip and details of existing borrowing; it also describes Open Banking or recent bank statements as part of the application process.,false,false,,https://pennypostcu.com/loans/debt-consolidation/
CU_HP_16,happy_path,easy,What is the Christmas Account?,answer_christmas_account_summary,"The Christmas Account is a regular savings account for Christmas; withdrawals are permitted in November and December, it is for members with a Membership Account, and regular deposits rather than lump sums are required.",false,false,,https://pennypostcu.com/savings/christmas-account/
CU_HP_17,happy_path,easy,Can I withdraw from the Christmas Account in July?,answer_christmas_withdrawal_rule,The public page says no withdrawals can be made between 1 January and 31 October; withdrawals are permitted in November and December.,false,false,,https://pennypostcu.com/savings/christmas-account/
CU_HP_18,happy_path,easy,Can I open a Young Saver account for my child?,answer_young_saver_eligibility,"A Young Saver account can be opened for a child or grandchild of a member from birth to under 18, with an adult Penny Post member acting as trustee.",false,false,,https://pennypostcu.com/savings/young-saver-account/
